2017-08-07 15:35:14.6027 #      ALL # ************************************************************************************************************************
2017-08-07 15:35:14.6457 #      ALL # SPORTident.ConfigPlus (v2.0.3.17107) started
2017-08-07 15:35:14.6457 #      ALL # Settings file located at: C:\Users\Adam\AppData\Roaming\SPORTident\Config\SPORTident.ConfigPlus.settings
2017-08-07 15:35:14.6467 #      ALL # Starting up application, runlevel is set to: Startup...
2017-08-07 15:35:14.6467 #      ALL # External reference created to mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089
2017-08-07 15:35:14.6467 #      ALL # External reference created to System.Drawing, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
2017-08-07 15:35:14.6467 #      ALL # External reference created to System.Windows.Forms, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089
2017-08-07 15:35:14.6477 #      ALL # External reference created to System, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089
2017-08-07 15:35:14.6477 #      ALL # External reference created to YAXLib, Version=2.0.1.0, Culture=neutral, PublicKeyToken=e21655a665f6ae1b
2017-08-07 15:35:14.6477 #      ALL # External reference created to SPORTident.Communication, Version=2.17.6296.17105, Culture=neutral, PublicKeyToken=e21655a665f6ae1b
2017-08-07 15:35:14.6477 #      ALL # External reference created to ObjectListView, Version=2.9.1.27756, Culture=neutral, PublicKeyToken=b1c5bf581481bcd4
2017-08-07 15:35:14.6487 #      ALL # External reference created to Microsoft.WindowsAPICodePack.Shell, Version=1.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35
2017-08-07 15:35:14.6487 #      ALL # External reference created to System.Xml, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089
2017-08-07 15:35:14.6487 #      ALL # External reference created to Ionic.Zip, Version=1.9.1.8, Culture=neutral, PublicKeyToken=edbe51ad942a3f5c
2017-08-07 15:35:14.6487 #      ALL # External reference created to ListViewPrinter, Version=2.5.0.27757, Culture=neutral, PublicKeyToken=21b031892bc54fb5
2017-08-07 15:35:14.6487 #      ALL # External reference created to System.Core, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089
2017-08-07 15:35:14.6497 #     FINE # Initializing localization library...
2017-08-07 15:35:15.0197 #      ALL # ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2017-08-07 15:35:15.0197 #     FINE # Application environment information:
2017-08-07 15:35:15.0207 #     FINE # Application execution path: C:\SportSoftware\ConfigPlus
2017-08-07 15:35:15.0207 #     FINE # Application settings path: C:\Users\Adam\AppData\Roaming\SPORTident\Config
2017-08-07 15:35:15.0207 #     FINE # Application log path: C:\Users\Adam\AppData\Roaming\SPORTident\Config\log
2017-08-07 15:35:15.0207 #     FINE # Firmware update path: C:\Users\Adam\AppData\Roaming\SPORTident\Config\updates\firmware
2017-08-07 15:35:15.0207 #      ALL # ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2017-08-07 15:35:15.0207 #     INFO # Settings loading...
2017-08-07 15:35:15.1517 #     FINE # Loading and applying settings from file C:\Users\Adam\AppData\Roaming\SPORTident\Config\SPORTident.ConfigPlus.settings
2017-08-07 15:35:15.5397 #     INFO # Log level set to Info
2017-08-07 15:35:18.0759 #     INFO # Settings and UI loading...
2017-08-07 15:35:20.7780 #     INFO # Application settings saved to file.
2017-08-07 15:35:21.3141 #  WARNING # Test mode disabled
