Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;

Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;
2017-08-07;15:54:35;133364;BSM7 UART1 (USB);2011.03.09.;573;128 K;Direct;2011.03.09.;2000;144,6 %;N/A;4;Readout; 00:02:00;RealTimeClock!; -;N/A; -;N/A; -; -;N/A;N/A;N/A;N/A;ConfigRead;
2017-08-07;16:09:37;133364;BSM7 UART1 (USB);2011.03.09.;573;128 K;Direct;2011.03.09.;2000;144,6 %;N/A;4;Readout; 00:02:00;RealTimeClock!; -;N/A; -;N/A; -; -;N/A;N/A;N/A;N/A;ConfigRead;
2017-08-07;16:10:27;139979;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,5 %;3,35;31;BcControl; 08:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;forced PunchingMode;NotSetOrDisabled; -;N/A;ConfigRead;
2017-08-07;16:13:09;139979;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,5 %;3,35;31;BcControl; 08:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;forced PunchingMode;NotSetOrDisabled; -;N/A;ConfigRead;
2017-08-07;16:13:18;139979;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,5 %;3,35;31;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:17:01;170610;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;12,8 %;3,28;32;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:17:16;170621;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;13,1 %;3,19;33;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:17:29;170634;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;12,7 %;3,18;34;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:17:40;139966;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,1 %;3,28;35;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:17:51;139972;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,2 %;3,31;36;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:18:02;170622;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;12,5 %;3,20;37;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:18:10;170012;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,6 %;3,33;38;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:18:30;170635;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;12,5 %;3,14;39;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:18:39;139988;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,1 %;3,36;40;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:18:55;170013;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,1 %;3,33;41;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:19:05;139965;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,9 %;3,00;42;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:19:13;139978;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,2 %;3,32;43;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:19:23;139996;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;14,2 %;3,32;44;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:19:40;139842;BSF7;2014.05.12.;656;128 K;Remote;2014.05.12.;2000;14,5 %;3,19;45;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
